direction,speed
290,175
260,113
255,144
240,211
270,144
270,149
245,144
230,138
260,133
280,226
270,247
265,87
270,82
275,77
265,36
265,56
285,113
290,154
285,164
270,185
280,200
275,185
275,211
275,195
255,77
245,108
235,133
270,154
280,169
280,175
245,200
250,169
260,226
260,226
255,180
255,180
250,180
245,185
280,175
270,180
260,185
260,236
270,211
295,175
285,138
260,72
295,87
275,133
270,154
275,159
245,102
265,97
295,180
300,164
295,123
295,118
280,102
235,159
250,113
250,108
280,87
320,61
325,128
325,128
320,133
315,138
255,175
255,169
255,159
305,149
270,133
270,133
280,138
255,128
265,154
275,169
285,180
255,92
270,128
290,164
310,113
300,133
265,56
260,46
235,133
235,138
255,128
270,118
290,82
300,113
285,200
285,200
280,180
260,77
250,144
250,159
265,144
280,164
315,102
330,72
350,41
5,10
340,92
20,46
25,30
140,144
305,185
310,200
310,169
305,87
315,36
280,77
250,113
185,144
245,133
335,200
50,108
115,30
140,92
150,113
120,128
190,128
85,61
30,25
15,113
90,92
25,123
270,87
310,66
310,36
25,92
30,97
70,87
105,77
310,46
235,82
190,72
120,51
85,41
115,31
110,46
0,0
10,25
25,87
330,61
275,133
210,82
210,92
185,72
120,15
280,56
305,51
285,108
335,92
330,92
215,20
210,15
355,82
50,20
125,87
185,118
225,87
295,46
0,0
240,87
210,72
180,66
205,30
310,138
300,92
290,30
230,92
245,133
210,149
200,154
215,134
170,113
80,237
80,252
100,190
100,200
100,216
100,118
70,185
65,190
70,211
75,200
80,231
80,87
85,133
90,175
95,221
85,108
85,144
85,169
105,82
95,144
90,185
80,231
80,236
80,257
95,237
80,247
60,247
60,247
75,236
95,226
125,128
100,154
80,175
70,185
90,180
105,205
105,211
100,200
85,293
80,262
70,205
65,190
105,185
95,252
75,190
80,200
85,216
100,185
90,226
80,247
85,262
85,205
85,221
85,241
70,231
75,262
95,231
90,247
80,267
70,283
80,226
90,252
95,267
105,283
90,211
90,226
90,241
95,221
95,247
85,226
85,293
85,308
115,134
110,154
105,247
100,278
85,165
70,165
75,236
80,267
115,180
105,200
100,221
95,236
100,241
100,262
85,226
75,267
70,272
70,180
100,180
100,180
100,205
110,247
100,288
95,334
80,211
65,123
70,144
75,195
100,236
95,288
90,339
75,164
80,195
80,236
85,277
75,185
85,252
90,267
90,262
90,211
85,221
80,262
90,298
95,324
85,257
90,267
100,277
80,211
75,216
70,221
90,154
90,190
85,241
85,283
95,159
85,175
100,226
100,241
100,221
100,257
95,283
80,190
95,205
100,247
95,231
85,216
90,241
95,277
85,200
95,236
100,277
100,205
95,190
65,123
65,118
185,20
100,257
90,241
25,138
315,36
80,242
40,134
95,211
90,118
100,138
100,396
90,180
110,149
175,61
80,123
100,102
145,56
230,97
130,72
140,144
130,97
50,190
75,118
115,10
125,20
115,113
150,77
190,46
85,92
80,41
120,123
45,87
350,61
280,25
90,102
40,46
345,10
30,129
355,98
140,25
325,92
140,26
340,61
310,118
270,190
265,195
275,128
290,118
310,97
330,108
325,108
190,46
250,123
260,133
275,118
260,36
240,36
255,72
270,72
265,20
285,56
50,82
85,87
185,36
200,72
220,56
245,30
250,20
215,97
265,56
285,87
310,123
310,123
290,25
340,56
350,61
330,82
285,118
250,66
285,87
305,108
345,133
40,51
310,144
305,149
300,149
285,133
280,118
265,138
250,138
285,56
280,77
280,113
270,118
255,123
250,92
265,102
285,113
295,118
30,77
15,82
340,102
290,66
290,66
265,82
230,113
215,123
225,123
200,118
190,118
280,56
0,0
225,36
240,36
255,41
265,41
255,30
250,30
250,123
245,190
245,62
250,67
235,103
260,154
250,118
250,102
255,87
250,72
255,82
275,118
275,260
255,123
195,36
250,51
245,66
280,159
295,159
295,159
320,97
270,41
245,10
210,30
180,51
300,41
250,82
225,113
215,118
210,51
225,56
265,72
305,82
285,36
285,36
290,61
220,41
210,41
155,41
145,46
75,25
25,10
295,149
280,149
275,185
280,169
270,159
190,72
245,25
260,15
245,82
240,118
290,102
310,108
280,113
295,123
300,123
245,169
245,159
250,144
210,133
235,133
275,138
285,128
285,128
275,138
285,66
270,149
285,154
280,154
265,211
265,221
265,175
270,180
270,169
255,149
220,180
245,159
230,175
225,175
275,46
260,56
285,61
230,36
330,5
0,0
340,30
340,92
315,56
310,61
245,87
255,102
265,102
250,87
250,87
265,87
325,61
255,46
260,46
250,77
220,87
335,20
315,36
290,118
265,113
265,108
295,77
285,66
275,51
285,102
250,123
305,97
265,87
225,82
285,56
280,46
250,66
210,92
270,128
245,113
220,97
180,77
160,66
250,41
300,87
335,113
330,123
300,97
305,97
280,108
270,108
280,128
265,133
255,138
245,144
245,144
280,164
275,149
275,128
275,113
260,128
270,118
290,87
230,36
270,30
295,30
285,97
300,97
250,216
245,169
240,113
235,113
210,61
165,41
135,25
245,82
220,66
200,56
250,51
235,46
190,36
120,20
295,108
315,113
315,102
275,123
285,128
290,128
225,102
215,97
180,72
320,82
340,41
0,0
300,149
325,113
355,72
25,20
300,123
275,66
265,51
290,36
0,0
240,118
270,108
305,97
295,123
305,102
330,51
0,0
310,190
5,133
70,72
120,25
0,0
340,15
185,113
185,113
125,61
0,0
40,56
75,108
80,108
45,123
250,56
305,61
340,66
0,66
290,30
355,56
45,72
45,72
285,51
280,36
280,36
330,15
0,0
5,10
140,36
125,36
120,36
25,56
0,41
5,46
205,15
200,20
175,51
295,133
315,123
340,102
10,87
35,72
310,154
300,159
310,128
335,61
0,0
5,82
40,72
85,56
280,97
220,66
185,46
170,46
90,36
245,36
210,66
175,97
30,108
35,113
60,138
0,0
15,15
55,56
115,118
50,10
65,15
155,61
165,66
335,77
15,56
20,51
100,87
90,108
70,138
70,154
55,51
60,82
70,118
320,36
250,36
190,36
145,36
